23/6.0.0; 480dpi; 1080x1812; HUAWEI; HUAWEI VNS-L21; HWVNS-H; hi6250
23/6.0.0; 480dpi; 1080x1812; HUAWEI; HUAWEI VNS-L31; HWVNS-H; hi6250
23/6.0.0; 480dpi; 1080x1920; BLU; Pure XR; BLU_Pure_XR; mt6755
23/6.0.0; 480dpi; 1080x1920; DOOGEE; Y6 Max; pri6750_66t_m; mt6755
23/6.0.0; 480dpi; 1080x1920; LENOVO; Lenovo S1a40; S1a40; mt6752
23/6.0.0; 480dpi; 1080x1920; LeMobile; LEX626; le_x6; mt6797
23/6.0.0; 480dpi; 1080x1920; OUKITEL; K6000 Pro; OUKITEL; mt6735
23/6.0.1; 160dpi; 720x1232; rockchip; V88; rk322x_box; rk30board
23/6.0.1; 240dpi; 540x960; samsung; SM-G950F; grandpplte; mt6735
23/6.0.1; 320dpi; 1200x1824; LENOVO; Lenovo TB-8703F; TB-8703F; qcom
23/6.0.1; 320dpi; 1280x720; samsung; SM-J500M; j5lte; qcom
23/6.0.1; 320dpi; 1536x2048; samsung; SM-T715N0; gts28ltekx; universal5433
23/6.0.1; 320dpi; 1536x2048; samsung; SM-T715Y; gts28lte; universal5433
23/6.0.1; 320dpi; 1600x2560; samsung; SM-T700; klimtwifi; universal5420
23/6.0.1; 320dpi; 720x1184; Sony; E2363; E2363; qcom
23/6.0.1; 320dpi; 720x1184; motorola; MotoG3-TE; merlin; qcom
23/6.0.1; 320dpi; 720x1184; motorola; XT1609; harpia; qcom
23/6.0.1; 320dpi; 720x1199; LGE; LG-K520; ph1; ph1
23/6.0.1; 320dpi; 720x1280; OPPO; CPH1701; CPH1701; qcom
23/6.0.1; 320dpi; 720x1280; Vodafone; VFD 600; P809V50; qcom
23/6.0.1; 320dpi; 720x1280; Xiaomi; Redmi 3X; land; qcom
23/6.0.1; 320dpi; 720x1280; samsung; SM-G570F; on5xelte; samsungexynos7570
23/6.0.1; 320dpi; 720x1280; samsung; SM-J500FN; j5nlte; qcom
23/6.0.1; 320dpi; 720x1280; samsung; SM-J500H; j53g; qcom
23/6.0.1; 320dpi; 720x1280; samsung; SM-J700F; j7elte; samsungexynos7580
23/6.0.1; 420dpi; 1080x1920; Coolpad; C103; C103; qcom
23/6.0.1; 420dpi; 1080x1920; LeMobile; LEX722; le_zl0; qcom
23/6.0.1; 420dpi; 1080x1920; LeMobile; Le X526; le_s2_ww; qcom
23/6.0.1; 420dpi; 1080x1920; samsung; SM-A720F; a7y17lte; samsungexynos7880
23/6.0.1; 420dpi; 1080x1920; samsung; SM-C7000; c7ltechn; qcom
23/6.0.1; 429dpi; 1080x1791; Motorola; MotoXPlay; lux; qcom
23/6.0.1; 480dpi; 1080x1776; Sony; D6603; D6603; qcom
23/6.0.1; 480dpi; 1080x1776; UMIDIGI; Plus E; UMIDIGI Plus E; mt6757
23/6.0.1; 480dpi; 1080x1776; motorola; Moto G (4); athene_t; qcom
23/6.0.1; 480dpi; 1080x1776; motorola; XT1563; lux_uds; qcom
23/6.0.1; 480dpi; 1080x1920; LENOVO; Lenovo K33b37; K33b37; qcom
23/6.0.1; 480dpi; 1080x1920; OnePlus; ONE A2005; OnePlus2; qcom
23/6.0.1; 480dpi; 1080x1920; Xiaomi; Redmi Note 3; kate; qcom
23/6.0.1; 480dpi; 1080x1920; ZUK; Z2131; z2_plus_hw; qcom
23/6.0.1; 480dpi; 1080x1920; asus; ASUS_X00DDA; ASUS_X00DD; qcom
23/6.0.1; 480dpi; 1080x1920; asus; ASUS_Z00A; Z00A; mofd_v1
23/6.0.1; 480dpi; 1080x1920; asus; ASUS_Z00AD; Z00A_1; mofd_v1
23/6.0.1; 480dpi; 1080x1920; asus; ASUS_Z00XS; Z00X; mofd_v1
23/6.0.1; 480dpi; 1080x1920; asus; ZE553KL; ASUS_Z01H_1; qcom
23/6.0.1; 480dpi; 1080x1920; samsung; SM-A520F; a5y17lte; samsungexynos7880
23/6.0.1; 480dpi; 1080x1920; samsung; SM-A8000; a8ltechn; qcom
23/6.0.1; 480dpi; 1080x1920; samsung; SM-G901F; kccat6; qcom
23/6.0.1; 480dpi; 1080x1920; samsung; SM-J7108; j7xeltecmcc; samsungexynos7580
23/6.0.1; 480dpi; 1080x1920; samsung; sm_g610f; on7xelte; samsungexynos7870
23/6.0.1; 560dpi; 1440x2560; samsung; SM-G928G; zenlte; samsungexynos7420
23/6.0.1; 560dpi; 1440x2560; samsung; SM-N930F; gracelte; universal5433
23/6.0.1; 640dpi; 1440x2560; samsung; SM-G925F; zerolte; samsungexynos7420
23/6.0.1; 640dpi; 1440x2560; samsung; SM-N910F; trlte; qcom
23/6.0.1; 640dpi; 1532x2560; samsung; SM-N915T; tbltetmo; qcom
23/6.0.1; 640dpi; 2560x1440; samsung; SM-N910H; tre3g; universal5433
23/7.0.0; 320dpi; 720x1344; samsung; SM-G960F; dream2qltesq; mt6580
24/7.0.0; 136dpi; 600x983; HOW; 705-G; 705-G; sp7731c_1h10
24/7.0.0; 160dpi; 600x976; HOW; 1001-G; 1001-G; sp7731c_1h10
24/7.0.0; 160dpi; 600x976; Multilaser; ML-JI11-M7_3G_PLUS; ML-JI11-M7_3G_PLUS; mt6580
24/7.0.0; 160dpi; 600x976; Multilaser; ML-SO-M7_3G_PLUS; ML-SO-M7_3G_PLUS; sp7731g_1h10
24/7.0.0; 160dpi; 800x1232; Multilaser; M10A; M10A; mt6580
24/7.0.0; 186dpi; 768x968; Sungworld; Tablet_DL_2820; Tablet_DL_2820; mt6580
24/7.0.0; 204dpi; 480x793; positivo; Positivo Slim; S510; sp7731c_1h10
24/7.0.0; 204dpi; 480x854; Navtech Pte.Ltd; STYLO F1; STYLOF1; sp7731c_1h10
24/7.0.0; 204dpi; 480x854; motorola; Moto C; watson; mt6580
24/7.0.0; 213dpi; 1200x1920; samsung; SM-P585M; gtanotexllte; samsungexynos7870
24/7.0.0; 216dpi; 480x789; Positivo; Twist Metal; S530; mt6580
24/7.0.0; 230dpi; 720x1280; motorola; Moto C Plus; panell_dt; mt6735
24/7.0.0; 240dpi; 480x782; Positivo; Twist Max; S540; mt6580
24/7.0.0; 240dpi; 480x854; Mirage; 62S; 62S; mt6580
24/7.0.0; 240dpi; 480x854; Multilaser; ML-CH-MS45_4G; ML-CH-MS45_4G; sp9832a_2h11
24/7.0.0; 240dpi; 480x854; WIKO; JERRY2; v2610; mt6580
24/7.0.0; 240dpi; 480x894; TCL; 5009D; U5A_PLUS_3G; mt6580
24/7.0.0; 250dpi; 720x1280; motorola; Moto C Plus; panell_dt; mt6735
24/7.0.0; 272dpi; 720x1120; TCL; 5026J; A3A_XL_3G; mt6580
24/7.0.0; 272dpi; 720x1198; Multilaser; MS60F_PLUS; MS60F_PLUS; sp9832a_2h11
24/7.0.0; 272dpi; 720x1198; Sony; F3116; F3116; mt6755
24/7.0.0; 272dpi; 720x1198; Vodafone; VFD 610; VFD610; mt6735
24/7.0.0; 272dpi; 720x1198; WIKO; U PULSE LITE; v3971; mt6735
24/7.0.0; 272dpi; 720x1198; asus; ASUS_X008DB; ASUS_X008; mt6735
24/7.0.0; 272dpi; 720x1199; LGE; LG-M400; msf3; msf3
24/7.0.0; 272dpi; 720x1280; TCL; 9008J; PIXI5-6_4G; mt6735
24/7.0.0; 272dpi; 720x1365; TCL; 5026J; A3A_XL_3G; mt6580
24/7.0.0; 280dpi; 1536x2048; samsung; SM-T719Y; gts28velte; qcom
24/7.0.0; 280dpi; 720x1280; samsung; SM-A310M; a3xelte; samsungexynos7580
24/7.0.0; 280dpi; 720x1280; samsung; SM-A320F; a3xelte; samsungexynos7580
24/7.0.0; 280dpi; 720x1280; samsung; SM-G570M; on5xelte; samsungexynos7570
24/7.0.0; 280dpi; 720x1280; samsung; SM-G955F; dream2lte; samsungexynos7420
24/7.0.0; 280dpi; 720x1280; samsung; SM-J530G; j5y17lte; samsungexynos7870
24/7.0.0; 288dpi; 720x1194; Quantum; You; Q17; mt6735
24/7.0.0; 288dpi; 720x1280; motorola; Moto C Plus; panell_dt; mt6735
24/7.0.0; 300dpi; 720x1280; samsung; SM-J700M; j7e3g; samsungexynos7580
24/7.0.0; 310dpi; 720x1187; asus; ASUS_X015D; ASUS_X015_1; mt6755
24/7.0.0; 314dpi; 720x1280; samsung; SM-J701MT; j7velte; samsungexynos7870
24/7.0.0; 320dpi; 1080x1920; samsung; SM-N935F; gracerlte; samsungexynos7420
24/7.0.0; 320dpi; 1280x720; motorola; Moto C Plus; panell_dt; mt6735
24/7.0.0; 320dpi; 1536x2048; samsung; SM-T713; gts28vewifi; qcom
24/7.0.0; 320dpi; 1536x2048; samsung; SM-T719Y; gts28velte; qcom
24/7.0.0; 320dpi; 1536x2048; samsung; SM-T819; gts210velte; qcom
24/7.0.0; 320dpi; 1536x2048; samsung; SM-T819Y; gts210velte; qcom
24/7.0.0; 320dpi; 640x1184; HOMTOM; S7; magc6737m_65_n; mt6735
24/7.0.0; 320dpi; 720x1184; BLU; R2 LTE; R0170WW; mt6735
24/7.0.0; 320dpi; 720x1184; BLU; Studio Pro; S750; mt6580
24/7.0.0; 320dpi; 720x1184; DOOGEE; MIX; MIX; mt6757
24/7.0.0; 320dpi; 720x1184; Mirage; MI-CH-82S; MI-CH-82S; sp9832a_2h11
24/7.0.0; 320dpi; 720x1184; Mix Plus; Mix Plus; pri6737m_65_n; mt6735
24/7.0.0; 320dpi; 720x1184; Sony; F3111; F3111; mt6755
24/7.0.0; 320dpi; 720x1184; Sony; G3116; G3116; mt6757
24/7.0.0; 320dpi; 720x1184; Sony; G3311; G3311; mt6735
24/7.0.0; 320dpi; 720x1184; asus; ASUS_X008DC; ASUS_X008_1; mt6735
24/7.0.0; 320dpi; 720x1184; asus; ASUS_X00KD; ASUS_X00K_1; mt6735
24/7.0.0; 320dpi; 720x1184; wheatek; MIX; t816_gq_ulefone; MT6750T
24/7.0.0; 320dpi; 720x1192; TCL; 5026J; A3A_XL_3G; mt6580
24/7.0.0; 320dpi; 720x1208; HUAWEI; TRT-LX1; HWTRT-Q; qcom
24/7.0.0; 320dpi; 720x1280; DL; DL_Horizon_Selfie; DL_Horizon_Selfie; mt6735
24/7.0.0; 320dpi; 720x1280; Philips; S359; S359; mt6735
24/7.0.0; 320dpi; 720x1280; TP-Link; Neffos X1; X1; mt6755
24/7.0.0; 320dpi; 720x1280; WIKO; HARRY; v3953; mt6735
24/7.0.0; 320dpi; 720x1280; samsung; SM-G930F; herolte; samsungexynos8890
24/7.0.0; 320dpi; 720x1280; samsung; SM-G935T; hero2qltetmo; qcom
24/7.0.0; 320dpi; 720x1280; samsung; SM-J330F; j3y17lte; samsungexynos7570
24/7.0.0; 320dpi; 720x1280; samsung; SM-J330FN; j3y17lte; samsungexynos7570
24/7.0.0; 320dpi; 720x1280; samsung; SM-J701F; j7velte; samsungexynos7870
24/7.0.0; 320dpi; 720x1280; samsung; SM-J710F; j7xelte; samsungexynos7870
24/7.0.0; 320dpi; 720x1280; vernee; Thor E; Thor_E; mt6735
24/7.0.0; 320dpi; 720x1336; asus; ASUS_X018D; ASUS_X018_4; mt6755
24/7.0.0; 320dpi; 720x1336; asus; ASUS_X018DC; ASUS_X018; mt6755
24/7.0.0; 320dpi; 720x1344; BLUBOO; Bluboo_S8_plus; Bluboo_S8_plus; mt6755
24/7.0.0; 320dpi; 720x1344; CUBOT; CUBOT X18; CUBOT_X18; mt6735
24/7.0.0; 320dpi; 720x1344; samsung; SM-G960F; dream2qltesq; mt6580
24/7.0.0; 360dpi; 720x1172; Sony; F3116; F3116; mt6755
24/7.0.0; 360dpi; 720x1199; LGE; LG-M400; msf3; msf3
24/7.0.0; 360dpi; 720x1280; TCL; 9008J; PIXI5-6_4G; mt6735
24/7.0.0; 360dpi; 720x1280; TCL; 9008X; PIXI5-6_4G; mt6735
24/7.0.0; 360dpi; 720x1280; WIKO; Lenny4 Plus; v3740; mt6580
24/7.0.0; 360dpi; 720x1280; samsung; SM-J701MT; j7velte; samsungexynos7870
24/7.0.0; 401dpi; 1080x1800; motorola; Moto G (4); athene_f; qcom
24/7.0.0; 408dpi; 1080x1798; LEAGOO; KIICAA MIX; KIICAA_MIX; mt6755
24/7.0.0; 408dpi; 1080x1798; Sony; F3216; F3216; mt6755
24/7.0.0; 408dpi; 1080x1798; motorola; Moto G (4); athene; qcom
24/7.0.0; 408dpi; 1080x1920; motorola; Moto G (5); cedric; qcom
